key,title,id,format,raw_talkType,talkType,level,tag,speaker,partner,allroom,videoId,presentation,abstract
b14-s,Motto Go Forward Goを支える文化とコミュニティ 〜なぜ我々はコミュニティにコントリビュートするのか？〜,luccafort,conference,Challenge Session (20 minutes),challenge_session,Beginner,,luccafort,,false,,,"まず最初にこのLTは技術の話ではありません。
Goは素晴らしいプログラミング言語ですが、それは技術だけが素晴らしいことを意味しません。
それを支える開発者、そして暖かく迎えてくれるコミュニティの存在と文化が大きく影響していると考えます。
コロナ禍によってさまざまなコミュニティが栄枯盛衰しているいまだからこそ、Goが大事にする文化を継承してもらいたいと考えました。
Go Worldがより進化し、変化していくために技術だけではないGoのウェットな文化を紹介させていただきます。"
a8-s,database/sqlパッケージを理解する,sivchari,conference,Short Session (20 minutes),short_session,Intermediate,,sivchari,,false,,,"私たちはdatabase/sqlと好きなdatabaseのdriverをimportすることで、とても簡単にGoとdatabaseの通信をすることができるようになります。
とても便利ですが、なぜdatabaseのdriverはblank importをするだけでDBの種類を識別できているのでしょうか。
また、Goのdatabase/sqlはgoroutineで複数接続しても安全に処理することができますが、どのように制御しているのでしょうか。
このトークを聞くことにより、普段何気なく行っていたdatabase/sqlの仕組みを理解した上でアプリケーションを実装することができるようになります。"
b8-s,「自動コード生成ツール」を20分で作れるようになろう,riita10069,conference,Short Session (20 minutes),short_session,Beginner,,riita10069,,false,,,"皆さんは、普段からGo言語でコードを書いていると思います。
「いつも同じようなプログラムだから自動生成したいな」と感じることはありませんか？

例えば、
- 単にCRUDするだけのコード
- if err != nil 的なエラーハンドリング
- natsやKafkaからドメインイベントを取ってくるworker
- 副作用のないメソッドのユニットテスト

のようなものです。

スキーマ定義のみでCRUDするAPIを生成するジェネレータを作成したので、
コード生成をしたことない人向けに紹介したいと思います。

Keyword:
ast, roche, jeniffer, cobra, afero"
b3-l,ゼロから作る Protocol Buffer のパーサーとレキサー,yoheimuta,conference,Long Session (40 minutes),long_session,All,,yoheimuta,,false,,,インタプリタやコンパイラの基礎になる字句解析器（lexer）と構文解析器（parser）の実装はgoyaccなどのジェネレーターを使うか手書きするかの基本二択になります。goyaccに関する実践的な情報は多いですが学習カーブが伴います。私はProtocolBufferスキーマ定義ファイルのパーサーとレキサーをGoの標準パッケージだけで実装しました。ASTを標準出力するだけでなくVisitorパターンを導入すると使い勝手が増します。これらの知識は普段使う静的解析ツールのカスタマイズにも役立ちます。本セッションでは実際に動く最小構成の実装からはじめてGoでのプログラミング手法をご紹介します。
b4-s,lock free な doubly linked list を実装していたらいつのまにか concurrent skip list map を実装していたでござる,kazuhisa_takei,conference,Short Session (20 minutes),short_session,Advanced,,kazuhisa_takei,,false,,,"埋め込み型のlinux kernel のようなdoubly linked list を実装しだしたら、lock free にしたくなり、そのまま sync.Map に勝つべく, hash map を実装していたらしらないうちに ほぼskip list なhash map を実装するまでの顛末"
a12-s,型パラメータが使えるようになったのでLINQを実装してみた,makki_d,conference,Short Session (20 minutes),short_session,Intermediate,,makki_d,,false,,,"Go 1.18にて型パラメータ（ジェネリクス）が利用できるようになりました。（なったはずです、なりましたよね？）
この新しい機能を利用してLINQ（言語統合クエリ）を実装してみます。

LINQは.Net Framework 3.5で導入された、様々なコレクションに対する操作を標準的な方法で行うための言語機能です。
C#やVB.Net以外にも、LINQの影響を受けたライブラリが様々な言語で作成されています。

この発表では、Goでの型パラメータを使ったLINQの実装方法を紹介することで、型パラメータの実践的な使い方とその制限について紹介します。"
a13-s,Let's contribute to OSS with Go,rennnosuke_rk,conference,Challenge Session (20 minutes),challenge_session,Beginner,,rennnosuke_rk,,false,,,"I'll talk about what I noticed when I contributed to Go OSS for the first time, and 'Why' and 'Why Not' contribute to OSS (in English).

The target audience is as follows - 1-2 year Go experience. Who has no contribution to OSS. Who want to contribute to OSS."
a3-l,"Dissecting Slices, Maps and Channels in Go",jespinog,conference,Long Session (40 minutes),long_session,Intermediate,,jespinog,,false,,,"My talk is about how slices, maps and channels work in the Go runtime. The idea is to use unsafe to extract the memory state on runtime and analyze how that is changing over time when you operate with the slices, maps and channels. We will see how channel buffers or maps buckets work under the hood."
a4-s,GoのGC(garbage collector)について理解する,uji_rb,conference,Short Session (20 minutes),short_session,All,,uji_rb,,false,,,"GoのGCの仕組みや設計思想を解説します。
聴講者には、ランタイムの一機能であるGCについて触れてもらうことを通して、Goのランタイムの世界に興味をもってもらうことができます。"
lt2,Python製の姓名分割ライブラリをGoに移植した話,glassmonekey,conference,Lightning Talk (5 minutes),lt_session,All,,glassmonekey,,false,,,"一般的にわかち書きでは無い日本語で姓名から「姓＋名」の分割を行うことは困難です。
しかし、Python製の姓名分割ライブラリ(https://github.com/rskmoi/namedivider-python)を用いるとある程度精度良く分割は可能です。
そこでシングルバイナリで扱えるGoのメリットを活かして、Python製の姓名分割ライブラリをGoに移植した話をします。
その際移植で工夫した点や気をつけた点をお話します。"
