category,key,title,order,description
platinum,v-standard,株式会社バニッシュ・スタンダード,1,"バニッシュ・スタンダードは、店舗スタッフDXサービス「STAFF START」を開発・運営している""スタッフテック""企業です。「好きを、諦めなくていい世の中を。」をビジョンに、店舗スタッフの皆様の働く体験を改善し、正当に評価されるためのサービスを開発しています。
元々Ruby on Railsで開発していましたが、2021年からGoへのリプレイスを開始し、今ではGoでの開発が中心です。
バニッシュ・スタンダードではエンジニアを絶賛募集中です。Goを中心としたモダンな環境で、好きなことで生きる人を増やすためのサービスを一緒につくりましょう！"
platinum,bitkey,株式会社ビットキー / Bitkey Inc.,2,"ビットキーは、ID連携・認証、権利処理のための技術「bitkey platform」をベースとし、人と「暮らし」や「仕事」の間にある分断を解消するスーパーアプリ/SaaS「homehub」「workhub」や、スマートロックbitlockシリーズなどを開発しています。
また、他社のソフト・ハードウェアとの連携も行っており、あらゆるサービスやモノを柔軟につなげることで体験のアップデートを進めています。"
gold,yappli,株式会社ヤプリ,3,Yappliは、アプリ開発・運用・分析をノーコード（プログラミング不要）で提供するアプリプラットフォームです。導入企業は550社を超え、店舗やEコマースなどのマーケティング支援から、社内や取引先とのコミュニケーションをモバイルで刷新する社内DX（デジタルトランスフォーメーション）、バックオフィスや学校法人の支援まで、幅広い業界の課題解決に活用されています。
gold,cluster,クラスター株式会社,4,"clusterは、VRからスマホまでどこからでも遊べる「メタバースプラットフォーム」です。サービスリリース以降、延べ総動員数は1,000万人超。バーチャル上で誰でも簡単に「イベントに集まる・ワールドで遊ぶ・空間やアバターを創る」体験を実現するため、様々な機能を開発・運営しています。""バーチャル経済圏のインフラをつくる""というビジョンを掲げ、VR空間やアバターのパーツが売買可能なクリエイターエコノミーの基盤となるストアや決済機能の開発を進めています。メタバースをより手軽で身近にするべく、サーバーサイドでの3Dデータ自動軽量化や、独自のリアルタイム通信サーバーの開発など、多方面の技術領域に取り組んでいます。"
silver,kanmu,株式会社カンム,5,
silver,acall,ACALL株式会社,6,
silver,tver,株式会社TVer,7,
silver,3-shake,株式会社スリーシェイク,8,
silver,miidas,ミイダス株式会社,9,
silver,morisawa,株式会社モリサワ,10,
silver,voicy,株式会社Voicy,11,
silver,andpad,株式会社アンドパッド,12,
silver,mediado,株式会社メディアドゥ,13,
silver,layerx,株式会社LayerX,14,
silver,base,BASE 株式会社,15,
silver,medley,株式会社メドレー,16,
silver,wantedly,ウォンテッドリー株式会社,17,
silver,freee,freee 株式会社,18,
silver,merpay,株式会社メルペイ,19,
silver,andfactory,and factory株式会社,20,
bronze,viven,株式会社 微分,21,
bronze,gnus,GNUSフリーランスネットワーク,22,
bronze,hey,ヘイ株式会社,23,
bronze,dena,株式会社ディー・エヌ・エー,24,
bronze,showcase-gig,株式会社Showcase Gig,25,
bronze,fuller,フラー株式会社,26,
bronze,fukurou,株式会社フクロウラボ,27,
bronze,hacobu,株式会社Hacobu,28,
bronze,m3,エムスリー株式会社,29,
bronze,appify,株式会社 Appify Technologies,30,
bronze,mixi,株式会社ミクシィ,31,
bronze,mf,株式会社マネーフォワード,32,
bronze,classi,Classi株式会社,33,
bronze,taraai,Tara AI,34,
bronze,belong,株式会社Belong,35,
